id,x,y,centroid,geometry,elevation
5018,-0.9769801226351656,-3.1330123649316595,0,POINT (84441.82031 444113.625),0.0
5019,-0.98009935615849,-3.131556239732737,0,POINT (83970.73438 444361.9688),0.0
5021,-0.9894820546097484,-3.134193043719575,0,POINT (82499.22656 444029.5938),0.0
5022,-0.9903106034918172,-3.118745276550546,0,POINT (82491.28125 446412.4375),0.0
5023,-0.9852531478234072,-3.1426997479401284,0,POINT (83087.11719 442687.7188),0.0
5024,-0.9851500381353387,-3.142547266579027,0,POINT (83104.25 442710.375),0.0
5025,-0.9994191493867968,-3.114939474962877,0,POINT (81112.59375 447069.125),0.0
5026,-0.9995760262208246,-3.1132354849574764,0,POINT (81101.625 447332.4375),0.0
5027,-0.9766038710118272,-3.1106617492762,0,POINT (84673.29688 447548.75),0.0
5028,-0.9750183055963564,-3.127749396656034,0,POINT (84786.00781 444908),0.0
5259,-0.9850350295637004,-3.115841327432752,0,POINT (83329.55469 446817.875),0.0
5416,-0.9932551936820956,-3.1212133158232422,0,POINT (82016.77344 446055.8438),0.0
5504,-0.9887297605716978,-3.123285147786365,0,POINT (82700.40625 445701.75),0.0
5559,-0.9790533769532176,-3.1242487357269524,0,POINT (84189.1875 445477.9688),0.0
5660,-0.9861484576144256,-3.1276924849132945,0,POINT (83065.29688 445003.5938),0.0
5857,-0.9827228114369904,-3.132405750826174,0,POINT (83558.42969 444251.75),0.0
5984,-0.9885788889449264,-3.1366071113482024,0,POINT (82620.125 443651.125),0.0
6358,-0.9828584994356,-3.126481724321022,0,POINT (83583.45313 445164.1563),0.0
6421,-0.9931871380886992,-3.096715456008853,0,POINT (82217.99219 449822.9688),0.0
6447,-0.9812037358949812,-3.105459136252144,0,POINT (84002.50781 448384.75),0.0
6448,-0.9825121425127712,-3.099751765511896,0,POINT (83844.53906 449272.6563),0.0
6449,-0.9808074536236132,-3.096770616207899,0,POINT (84131.1875 449717.7813),0.0
6451,-0.9839206880042444,-3.0985952077954484,0,POINT (83635.78125 449461.5),0.0
6453,-0.981624159086172,-3.101172494685135,0,POINT (83970.78125 449047.25),0.0
6454,-0.9804791114472764,-3.100204017213537,0,POINT (84155.30469 449187.25),0.0
6455,-0.9796294429182718,-3.099504339539736,0,POINT (84292.07813 449288.2188),0.0
6457,-0.9793272955747064,-3.0981339601480635,0,POINT (84349.41406 449496.5938),0.0
6458,-0.9785461135296544,-3.0987462833025736,0,POINT (84465.42188 449396.3438),0.0
6459,-0.9792761009891202,-3.0965897206849373,0,POINT (84369.30469 449733.6563),0.0
6460,-0.979080201873264,-3.09713174371316,0,POINT (84395.38281 449648.7813),0.0
6461,-0.9777432374693048,-3.0981881918877554,0,POINT (84593.85938 449475.9063),0.0
6462,-0.9769583933546052,-3.099908890077514,0,POINT (84701.84375 449205.1875),0.0
6463,-0.9776291116329212,-3.099168829848909,0,POINT (84603.89844 449324.2188),0.0
6464,-0.981856527150876,-3.0982000542090047,0,POINT (83957.92969 449506.1563),0.0
6465,-0.9801243714138322,-3.100761121528286,0,POINT (84205.82031 449098.8125),0.0
6466,-0.9810804297562622,-3.10214287943482,0,POINT (84047.30469 448893.7813),0.0
6467,-0.9790119516744982,-3.102027823172505,0,POINT (84367.96094 448895.3438),0.0
6468,-0.9792510362866826,-3.1021689828770262,0,POINT (84329.90625 448875.5),0.0
6469,-0.9801313732594006,-3.103040474482396,0,POINT (84187.05469 448748.3438),0.0
6472,-0.9792956602400223,-3.1038389622499456,0,POINT (84310.05469 448619.0313),0.0
6473,-0.9783440701185724,-3.104887609712863,0,POINT (84449.03125 448450.3438),0.0
6474,-0.9814089614703772,-3.102122967142935,0,POINT (83996.67188 448899.4063),0.0
6476,-0.98152968909664,-3.106167767791092,0,POINT (83946.61719 448278.3125),0.0
6477,-0.9820349794164168,-3.107598098744611,0,POINT (83857.39844 448062.2813),0.0
6478,-0.9831283018862406,-3.1081148277135213,0,POINT (83684.35938 447991.3438),0.0
6479,-0.9755769427910504,-3.1027566030600435,0,POINT (84893.32813 448756.5),0.0
6480,-0.9776525948881498,-3.106335510787961,0,POINT (84544.70313 448222.2813),0.0
6483,-0.9758815910055556,-3.1061021145496777,0,POINT (84820.30469 448244.375),0.0
6484,-0.9772670462409544,-3.1040958047939644,0,POINT (84621.67188 448563.7188),0.0
6485,-0.9766239274856404,-3.107501338371084,0,POINT (84694.69531 448034.9688),0.0
6486,-0.9782167946482774,-3.1088060914363256,0,POINT (84438.32031 447846.7188),0.0
6487,-0.9792251429783836,-3.107527721601162,0,POINT (84292.34375 448051.1875),0.0
6488,-0.9799206936979588,-3.106480363048723,0,POINT (84192.9375 448217.6875),0.0
6490,-0.9835993170676316,-3.101779531834644,0,POINT (83660.73438 448969.3125),0.0
6491,-0.9893138916143984,-3.106691876997042,0,POINT (82739.13281 448258.5),0.0
6495,-0.9842055027164552,-3.108952199346636,0,POINT (83511.32031 447870.9688),0.0
6496,-0.9832589977719352,-3.1095261215356524,0,POINT (83653.19531 447775.3125),0.0
6497,-0.9825261205554102,-3.1099991358856034,0,POINT (83762.82813 447696.8438),0.0
6498,-0.982858151663742,-3.110309387426796,0,POINT (83709.08594 447651.7188),0.0
6499,-0.9833620380189612,-3.110104545374059,0,POINT (83632.77344 447687.1563),0.0
6500,-0.9758024265461728,-3.1084393110165958,0,POINT (84814.42969 447884.3125),0.0
6501,-0.9768535647941794,-3.109364453829411,0,POINT (84644.75 447750.2188),0.0
6502,-0.9809161444825728,-3.107330628184759,0,POINT (84032.44531 448094.6875),0.0
6503,-0.9794311487583566,-3.1082361350042005,0,POINT (84255 447943.8438),0.0
6505,-0.9789544366851596,-3.107908395614017,0,POINT (84331.24219 447990.5313),0.0
6507,-0.9776126013387212,-3.109144055226368,0,POINT (84529.10938 447790.0313),0.0
6508,-0.9804025907296549,-3.108386383283991,0,POINT (84103.64844 447928.3125),0.0
6509,-0.9802651315157804,-3.108616130017028,0,POINT (84123.11719 447891.9063),0.0
6510,-0.9805761460732988,-3.1103411291938947,0,POINT (84061.64844 447629.0313),0.0
6511,-0.9796140290224596,-3.1119259410005,0,POINT (84198.10156 447377.7813),0.0
6512,-0.9790088179374704,-3.11139115945127,0,POINT (84295.82031 447455.3125),0.0
6513,-0.9792693883086646,-3.110808430218916,0,POINT (84260.05469 447546.9688),0.0
6515,-0.9800459305785912,-3.1121512273755734,0,POINT (84129.57813 447346.5),0.0
6516,-0.9801481320601856,-3.11137435983866,0,POINT (84119.80469 447466.7813),0.0
6517,-0.9808101155448954,-3.111987004762632,0,POINT (84012.70313 447377.7188),0.0
6518,-0.9813049284579712,-3.1123853485956934,0,POINT (83933.10938 447320.3125),0.0
6521,-0.9796684793402872,-3.1131800904604523,0,POINT (84179.95313 447185.3125),0.0
6524,-0.982125450089804,-3.113068618689664,0,POINT (83800.94531 447221.625),0.0
