,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
526,107261,6797,6802,43.57423,10,"LINESTRING (82434.90625 446388.03125, 82427.484375 446430.96875)",1200.0,None,35.0,15,4.481920799999999
527,107262,6802,6797,43.57423,10,"LINESTRING (82434.90625 446388.03125, 82427.484375 446430.96875)",1200.0,None,35.0,15,4.481920799999999
528,107321,5013,6734,33.47328,10,"LINESTRING (82288.890625 446919.34375, 82279.8125 446951.5625)",1200.0,None,35.0,15,3.442965942857143
529,107322,6734,5013,33.47328,10,"LINESTRING (82288.890625 446919.34375, 82279.8125 446951.5625)",1200.0,None,35.0,15,3.442965942857143
530,107451,6794,6808,324.22814,10,"LINESTRING (82649.40625 445957.375, 82962.328125 446042.25)",1200.0,None,35.0,15,33.34918011428571
531,107452,6808,6794,324.22814,10,"LINESTRING (82649.40625 445957.375, 82962.328125 446042.25)",1200.0,None,35.0,15,33.34918011428571
532,107511,6806,6810,164.69283000000001,10,"LINESTRING (83063.8515625 445803.34375, 83100.390625 445810.75, 83126.5234375 445718.8125, 83141.8359375 445690.90625)",1200.0,None,35.0,15,16.939833942857145
533,107512,6810,6806,164.69283000000001,10,"LINESTRING (83063.8515625 445803.34375, 83100.390625 445810.75, 83126.5234375 445718.8125, 83141.8359375 445690.90625)",1200.0,None,35.0,15,16.939833942857145
534,107631,6810,6815,191.75579000000002,10,"LINESTRING (83141.8359375 445690.90625, 83131.0234375 445668.375, 83158.0546875 445562.0625, 83154.453125 445536.8125, 83168.65625 445508.625)",1200.0,None,35.0,15,19.723452685714285
535,107632,6815,6810,191.75579000000002,10,"LINESTRING (83141.8359375 445690.90625, 83131.0234375 445668.375, 83158.0546875 445562.0625, 83154.453125 445536.8125, 83168.65625 445508.625)",1200.0,None,35.0,15,19.723452685714285
536,107711,6816,6817,105.49491,10,"LINESTRING (83395.6640625 445300.6875, 83290.2109375 445297.71875)",1200.0,None,35.0,15,10.850905028571429
537,107712,6817,6816,105.49491,10,"LINESTRING (83395.6640625 445300.6875, 83290.2109375 445297.71875)",1200.0,None,35.0,15,10.850905028571429
538,107871,6816,6825,62.136700000000005,10,"LINESTRING (83395.6640625 445300.6875, 83457.671875 445304.6875)",1200.0,None,35.0,15,6.391203428571429
539,107872,6825,6816,62.136700000000005,10,"LINESTRING (83395.6640625 445300.6875, 83457.671875 445304.6875)",1200.0,None,35.0,15,6.391203428571429
540,107931,6816,6826,270.9375,11,"LINESTRING (83395.6640625 445300.6875, 83395.6640625 445029.75)",1500.0,None,40.0,15,24.384375
541,107932,6826,6816,270.9375,11,"LINESTRING (83395.6640625 445300.6875, 83395.6640625 445029.75)",1500.0,None,40.0,15,24.384375
542,107961,6826,6827,91.34022,10,"LINESTRING (83395.6640625 445029.75, 83447.3984375 445018.21875, 83485.390625 445023.34375)",1200.0,None,35.0,15,9.394994057142856
543,107962,6827,6826,91.34022,10,"LINESTRING (83395.6640625 445029.75, 83447.3984375 445018.21875, 83485.390625 445023.34375)",1200.0,None,35.0,15,9.394994057142856
544,108071,6826,6831,265.74852999999996,11,"LINESTRING (83395.6640625 445029.75, 83399.640625 444764.03125)",1500.0,None,40.0,15,23.9173677
545,108072,6831,6826,265.74852999999996,11,"LINESTRING (83395.6640625 445029.75, 83399.640625 444764.03125)",1500.0,None,40.0,15,23.9173677
546,108101,6831,6832,133.40436,10,"LINESTRING (83399.640625 444764.03125, 83528.5234375 444798.46875)",1200.0,None,35.0,15,13.721591314285714
